Item,Item_names,Time
46,bread,1550367315
40,shower,1550355915
62,baking powder,1550362615
36,rocket fuel,1550368115
43,bottles,1550361915
1,watch,1550360315
36,rocket fuel,1550360815
45,cars,1550369315
16,laptop,1550355515
68,dress,1550362115
18,desk,1550363915
46,bread,1550355015
11,bagpack,1550365715
54,rope,1550363815
37,bulbs,1550354215
41,letters,1550364815
36,rocket fuel,1550367915
48,bullets,1550356115
17,fridge,1550350815
39,pajamas,1550365015
41,letters,1550365815
3,shoes,1550359515
56,tomatoes,1550367115
7,skirt,1550351015
15,mobiles,1550367115
16,laptop,1550353315
38,ink,1550354915
24,ring,1550369915
54,rope,1550358715
14,suitcase,1550364715
27,cashew,1550354015
64,milk,1550368715
48,bullets,1550365015
54,rope,1550360115
52,cards,1550361515
55,bacon,1550351215
66,boots,1550364215
19,soda,1550351615
44,juice,1550356415
36,rocket fuel,1550353815
48,bullets,1550363415
66,boots,1550364915
29,lays,1550351015
36,rocket fuel,1550362815
14,suitcase,1550353115
56,tomatoes,1550362615
32,paper,1550359015
8,sandal,1550365515
11,bagpack,1550353015
65,handbags,1550366615
27,cashew,1550366915
6,sugar,1550365615
32,paper,1550355815
7,skirt,1550356515
1,watch,1550365315
15,mobiles,1550352415
66,boots,1550366415
11,bagpack,1550360515
14,suitcase,1550360715
33,pen,1550368415
45,cars,1550370115
9,heals,1550356015
51,cakes,1550353615
35,radio,1550367815
10,handbag,1550367615
36,rocket fuel,1550363215
43,bottles,1550366615
61,vegetables,1550363815
22,earrings,1550363815
14,suitcase,1550354315
2,wallet,1550361215
18,desk,1550356715
45,cars,1550360215
46,bread,1550360915
31,keyboard,1550365015
8,sandal,1550351215
19,soda,1550365715
69,jacket,1550367415
50,shampoo,1550354315
21,bangles,1550364915
7,skirt,1550364015
57,sugar,1550357815
53,pearls,1550352115
50,shampoo,1550352415
14,suitcase,1550352515
28,juice,1550364615
54,rope,1550365715
24,ring,1550360715
30,maggi,1550369415
22,earrings,1550364615
49,mutton,1550364515
67,sweaters,1550358915
69,jacket,1550363815
16,laptop,1550354915
31,keyboard,1550366715
45,cars,1550362915
37,bulbs,1550360715
23,necklace,1550357915
1,watch,1550358415
55,bacon,1550370315
57,sugar,1550359115
55,bacon,1550355815
25,shampoo,1550358915
5,rice,1550370415
15,mobiles,1550354315
26,dates,1550364315
61,vegetables,1550358815
47,chain,1550362115
30,maggi,1550361615
59,onions,1550351415
4,belt,1550361615
58,eggs,1550365215
29,lays,1550364315
50,shampoo,1550357315
58,eggs,1550363915
48,bullets,1550356115
59,onions,1550354315
28,juice,1550364815
18,desk,1550353115
36,rocket fuel,1550362515
31,keyboard,1550363115
38,ink,1550352715
29,lays,1550368815
33,pen,1550363615
37,bulbs,1550366815
2,wallet,1550366415
9,heals,1550356015
15,mobiles,1550353015
57,sugar,1550369315
32,paper,1550365015
4,belt,1550352015
54,rope,1550360315
15,mobiles,1550358715
29,lays,1550351415
3,shoes,1550364015
17,fridge,1550363115
37,bulbs,1550360215
17,fridge,1550363315
69,jacket,1550351715
24,ring,1550362515
52,cards,1550360115
15,mobiles,1550356315
22,earrings,1550369815
62,baking powder,1550358115
3,shoes,1550362015
17,fridge,1550367315
69,jacket,1550362215
29,lays,1550362215
8,sandal,1550368215
55,bacon,1550354615
31,keyboard,1550369715
38,ink,1550351815
66,boots,1550353015
11,bagpack,1550358315
55,bacon,1550363815
38,ink,1550353415
23,necklace,1550360615
58,eggs,1550353015
8,sandal,1550356815
58,eggs,1550366815
4,belt,1550351615
53,pearls,1550356215
54,rope,1550350815
31,keyboard,1550364015
31,keyboard,1550365215
39,pajamas,1550359515
64,milk,1550352515
64,milk,1550362915
18,desk,1550368915
14,suitcase,1550367715
63,cheese,1550365715
2,wallet,1550357215
65,handbags,1550368015
69,jacket,1550360015
67,sweaters,1550363915
39,pajamas,1550355415
29,lays,1550365815
59,onions,1550351915
69,jacket,1550357915
55,bacon,1550357915
38,ink,1550369415
7,skirt,1550358015
18,desk,1550358415
34,pencil,1550365515
25,shampoo,1550363115
35,radio,1550350815
8,sandal,1550350915
65,handbags,1550361415
8,sandal,1550351615
1,watch,1550351515
47,chain,1550355915
51,cakes,1550351415
33,pen,1550358815
43,bottles,1550352615
47,chain,1550364715
3,shoes,1550358415
17,fridge,1550366015
51,cakes,1550370715
26,dates,1550363115
39,pajamas,1550369115
61,vegetables,1550356915
42,books,1550352915
68,dress,1550354215
26,dates,1550362415
57,sugar,1550367915
59,onions,1550364815
50,shampoo,1550361815
27,cashew,1550363315
35,radio,1550365515
44,juice,1550362815
37,bulbs,1550351615
28,juice,1550359615
16,laptop,1550353415
19,soda,1550351515
54,rope,1550350915
26,dates,1550360015
26,dates,1550351915
13,teddy,1550362915
36,rocket fuel,1550364415
7,skirt,1550354015
53,pearls,1550362615
28,juice,1550353515
53,pearls,1550362215
67,sweaters,1550368015
60,yeast,1550362115
20,hat,1550351615
49,mutton,1550358315
39,pajamas,1550351415
44,juice,1550370015
33,pen,1550370415
27,cashew,1550359915
19,soda,1550357415
9,heals,1550356315
4,belt,1550364215
35,radio,1550354715
65,handbags,1550366115
38,ink,1550359515
66,boots,1550352315
16,laptop,1550370415
31,keyboard,1550366515
60,yeast,1550352115
18,desk,1550356715
47,chain,1550363115
25,shampoo,1550355115
33,pen,1550356115
69,jacket,1550360515
23,necklace,1550369115
38,ink,1550355715
49,mutton,1550352315
33,pen,1550366315
58,eggs,1550354015
33,pen,1550368215
22,earrings,1550360115
17,fridge,1550367715
27,cashew,1550363215
13,teddy,1550364015
64,milk,1550365015
45,cars,1550353915
5,rice,1550351015
37,bulbs,1550363015
38,ink,1550364315
16,laptop,1550362915
13,teddy,1550357815
22,earrings,1550366015
31,keyboard,1550363315
50,shampoo,1550356215
48,bullets,1550357015
14,suitcase,1550363815
29,lays,1550365715
9,heals,1550355415
19,soda,1550370515
28,juice,1550351215
51,cakes,1550358115
25,shampoo,1550352415
46,bread,1550358715
43,bottles,1550367815
51,cakes,1550369015
41,letters,1550366115
17,fridge,1550353115
5,rice,1550367815
62,baking powder,1550357915
51,cakes,1550359015
6,sugar,1550354315
31,keyboard,1550362415
6,sugar,1550365415
13,teddy,1550357815
30,maggi,1550368815
17,fridge,1550364815
68,dress,1550354615
68,dress,1550363315
56,tomatoes,1550351615
52,cards,1550352615
54,rope,1550365415
68,dress,1550362915
38,ink,1550360515
52,cards,1550355015
62,baking powder,1550358115
57,sugar,1550352515
48,bullets,1550364015
59,onions,1550367515
45,cars,1550361815
16,laptop,1550369315
35,radio,1550355015
11,bagpack,1550353915
63,cheese,1550351815
41,letters,1550370015
32,paper,1550362515
48,bullets,1550361615
2,wallet,1550357815
5,rice,1550358315
14,suitcase,1550362115
46,bread,1550352315
37,bulbs,1550360115
14,suitcase,1550370715
1,watch,1550361115
56,tomatoes,1550370415
34,pencil,1550363115
33,pen,1550368915
61,vegetables,1550369315
54,rope,1550354815
47,chain,1550364915
33,pen,1550351715
38,ink,1550350915
35,radio,1550369215
27,cashew,1550353115
21,bangles,1550354215
2,wallet,1550352015
51,cakes,1550353015
59,onions,1550361515
21,bangles,1550361315
19,soda,1550361215
25,shampoo,1550365315
36,rocket fuel,1550351115
61,vegetables,1550361015
60,yeast,1550364915
59,onions,1550352915
48,bullets,1550358015
27,cashew,1550369715
38,ink,1550351615
17,fridge,1550352115
13,teddy,1550356515
38,ink,1550365515
28,juice,1550352915
35,radio,1550360315
68,dress,1550362015
51,cakes,1550361615
35,radio,1550354915
54,rope,1550357715
48,bullets,1550364515
19,soda,1550352615
59,onions,1550359715
45,cars,1550351815
15,mobiles,1550363615
6,sugar,1550357315
49,mutton,1550362215
27,cashew,1550369615
17,fridge,1550362115
16,laptop,1550360415
23,necklace,1550358915
15,mobiles,1550369015
1,watch,1550351415
10,handbag,1550366915
46,bread,1550359415
34,pencil,1550358715
18,desk,1550363115
8,sandal,1550354615
6,sugar,1550352115
5,rice,1550365915
11,bagpack,1550370715
55,bacon,1550350815
41,letters,1550366715
1,watch,1550366015
9,heals,1550356515
28,juice,1550368215
41,letters,1550366415
37,bulbs,1550354715
48,bullets,1550354015
46,bread,1550369715
48,bullets,1550359615
62,baking powder,1550360615
60,yeast,1550359015
46,bread,1550353515
9,heals,1550360915
67,sweaters,1550355615
52,cards,1550354015
9,heals,1550370615
33,pen,1550360515
14,suitcase,1550368815
38,ink,1550350915
18,desk,1550364815
43,bottles,1550353615
51,cakes,1550362515
22,earrings,1550369715
56,tomatoes,1550360415
69,jacket,1550351815
19,soda,1550364415
57,sugar,1550366915
50,shampoo,1550368815
10,handbag,1550355815
39,pajamas,1550362615
